 ,Min1,Max1,X1,Y1,Min2,Max2,X2,Y2,Min3,Max3,X3,Y3,Min4,Max4,X4,Y4,Min5,Max5,X5,Y5,Min6,Max6,X6,Y6,Min7,Max7,X7,Y7,Min8,Max8,X8,Y8,Min9,Max9,X9,Y9,Min10,Max10,X10,Y10,Min11,Max11,X11,Y11,Min12,Max12,X12,Y12
15,0,0,114.963,54.401,0,0,109.363,62.721,0,0,107.603,65.362,0,0,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,0,102.802,95.922,0,0,105.922,100.402,0,0,104.562,104.482,0,0,105.442,103.522
16,0,0,114.963,54.401,0,0,109.363,62.721,0,0,107.603,65.362,0,0,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,0,102.802,95.922,0,0,105.922,100.402,0,0,104.562,104.482,0,0,105.442,103.522
17,0,0,114.963,54.401,0,0,109.363,62.721,0,0,107.603,65.362,0,0,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,0,102.802,95.922,0,0,105.922,100.402,0,0,104.562,104.482,0,0,105.442,103.522
18,0,0,114.963,54.401,0,0,109.363,62.721,0,0,107.603,65.362,0,0,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,0,102.802,95.922,0,0,105.922,100.402,0,0,104.562,104.482,0,0,105.442,103.522
19,0,0,114.963,54.401,0,0,109.363,62.721,0,0,107.603,65.362,0,0,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,0,102.802,95.922,0,0,105.922,100.402,0,0,104.562,104.482,0,0,105.442,103.522
20,0,0,114.963,54.401,0,0,109.363,62.721,0,0,107.603,65.362,0,0,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,0,102.802,95.922,0,0,105.922,100.402,0,0,104.562,104.482,0,0,105.442,103.522
21,0,0,114.963,54.401,0,0,109.363,62.721,0,0,107.603,65.362,0,0,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,0,102.802,95.922,0,0,105.922,100.402,0,0,104.562,104.482,0,0,105.442,103.522
22,0,0,114.963,54.401,0,0,109.363,62.721,0,0,107.603,65.362,0,0,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,0,102.802,95.922,0,0,105.922,100.402,0,0,104.562,104.482,0,0,105.442,103.522
23,0,0,114.963,54.401,0,0,109.363,62.721,0,0,107.603,65.362,0,0,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,0,102.802,95.922,0,0,105.922,100.402,0,0,104.562,104.482,0,0,105.442,103.522
24,0,0,114.963,54.401,0,0,109.363,62.721,0,0,107.603,65.362,0,0,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,0,102.802,95.922,0,0,105.922,100.402,0,0,104.562,104.482,0,0,105.442,103.522
25,0,0,114.963,54.401,0,0,109.363,62.721,0,0,107.603,65.362,0,0,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,0,102.802,95.922,0,0,105.922,100.402,0,0,104.562,104.482,0,0,105.442,103.522
26,0,0,114.963,54.401,0,2,109.363,62.721,0,0,107.603,65.362,0,0,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,0,102.802,95.922,0,0,105.922,100.402,0,0,104.562,104.482,0,0,105.442,103.522
27,0,0,114.963,54.401,0,3,109.363,62.721,0,1,107.603,65.362,0,0,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,0,102.802,95.922,0,0,105.922,100.402,0,0,104.562,104.482,0,0,105.442,103.522
28,0,0,114.963,54.401,0,5,109.363,62.721,0,1,107.603,65.362,0,0,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,0,102.802,95.922,0,0,105.922,100.402,0,0,104.562,104.482,0,0,105.442,103.522
29,0,0,114.963,54.401,0,4,109.363,62.721,1,2,107.603,65.362,0,0,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,1,102.802,95.922,0,1,105.922,100.402,0,0,104.562,104.482,0,0,105.442,103.522
30,0,0,114.963,54.401,0,4,109.363,62.721,2,4,107.603,65.362,0,0,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,1,102.802,95.922,0,1,105.922,100.402,0,0,104.562,104.482,0,0,105.442,103.522
31,0,0,114.963,54.401,0,2,109.363,62.721,5,56,107.603,65.362,0,0,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,1,102.802,95.922,0,1,105.922,100.402,0,1,104.562,104.482,0,0,105.442,103.522
32,0,0,114.963,54.401,0,1,109.363,62.721,8,361,107.603,65.362,0,0,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,1,102.802,95.922,0,1,105.922,100.402,0,3,104.562,104.482,0,1,105.442,103.522
33,0,0,114.963,54.401,0,1,109.363,62.721,10,479,107.603,65.362,0,1,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,5,102.802,95.922,0,0,105.922,100.402,0,4,104.562,104.482,0,1,105.442,103.522
34,0,0,114.963,54.401,0,1,109.363,62.721,9,340,107.603,65.362,0,1,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,16,102.802,95.922,0,0,105.922,100.402,1,5,104.562,104.482,0,1,105.442,103.522
35,0,0,114.963,54.401,0,0,109.363,62.721,2,5,107.603,65.362,1,7,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,24,102.802,95.922,0,0,105.922,100.402,1,11,104.562,104.482,0,1,105.442,103.522
36,0,0,114.963,54.401,0,0,109.363,62.721,0,1,107.603,65.362,1,26,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,1,21,102.802,95.922,0,0,105.922,100.402,1,5,104.562,104.482,0,1,105.442,103.522
37,0,0,114.963,54.401,0,0,109.363,62.721,0,1,107.603,65.362,1,120,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,1,8,102.802,95.922,0,0,105.922,100.402,1,3,104.562,104.482,0,1,105.442,103.522
38,0,0,114.963,54.401,0,0,109.363,62.721,0,0,107.603,65.362,2,180,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,1,6,102.802,95.922,0,0,105.922,100.402,0,2,104.562,104.482,0,0,105.442,103.522
39,0,0,114.963,54.401,0,0,109.363,62.721,0,0,107.603,65.362,2,176,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,1,4,102.802,95.922,0,0,105.922,100.402,0,1,104.562,104.482,0,0,105.442,103.522
40,0,0,114.963,54.401,0,0,109.363,62.721,0,0,107.603,65.362,3,121,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,2,102.802,95.922,0,0,105.922,100.402,0,0,104.562,104.482,0,0,105.442,103.522
41,0,0,114.963,54.401,0,0,109.363,62.721,0,0,107.603,65.362,3,87,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,1,102.802,95.922,0,0,105.922,100.402,0,0,104.562,104.482,0,0,105.442,103.522
42,0,0,114.963,54.401,0,0,109.363,62.721,0,0,107.603,65.362,2,27,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,0,102.802,95.922,0,0,105.922,100.402,0,0,104.562,104.482,0,0,105.442,103.522
43,0,0,114.963,54.401,0,0,109.363,62.721,0,0,107.603,65.362,0,4,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,0,102.802,95.922,0,0,105.922,100.402,0,1,104.562,104.482,0,1,105.442,103.522
44,0,0,114.963,54.401,0,0,109.363,62.721,0,0,107.603,65.362,0,2,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,0,102.802,95.922,0,0,105.922,100.402,0,1,104.562,104.482,0,1,105.442,103.522
