 ,Min1,Max1,X1,Y1,Min2,Max2,X2,Y2,Min3,Max3,X3,Y3,Min4,Max4,X4,Y4,Min5,Max5,X5,Y5,Min6,Max6,X6,Y6,Min7,Max7,X7,Y7,Min8,Max8,X8,Y8,Min9,Max9,X9,Y9,Min10,Max10,X10,Y10
33,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
34,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
35,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
36,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
37,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
38,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
39,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
40,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
41,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
42,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
43,0,2,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
44,0,5,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
45,1,52,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,1,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
46,2,147,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,2,5,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
47,2,82,2.560,18.960,0,3,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,3,17,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
48,1,18,2.560,18.960,0,17,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,3,18,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
49,0,2,2.560,18.960,0,50,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,3,5,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
50,0,0,2.560,18.960,1,52,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,1,2,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
51,0,0,2.560,18.960,1,33,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,1,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
52,0,0,2.560,18.960,1,16,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
53,0,0,2.560,18.960,0,5,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
54,0,0,2.560,18.960,0,3,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,1,31.281,71.042,0,1,31.601,72.082
55,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,1,31.281,71.042,0,2,31.601,72.082
56,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,1,31.281,71.042,1,2,31.601,72.082
57,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,1,31.601,72.082
58,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
59,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
60,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
61,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,2,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
62,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,2,7,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
63,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,3,16,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
64,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,4,25,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
65,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,3,28,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
66,0,0,2.560,18.960,0,0,5.040,21.761,0,11,11.440,35.361,2,28,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
67,0,0,2.560,18.960,0,0,5.040,21.761,0,48,11.440,35.361,1,23,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
68,0,0,2.560,18.960,0,0,5.040,21.761,1,47,11.440,35.361,1,12,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
69,0,0,2.560,18.960,0,0,5.040,21.761,3,35,11.440,35.361,0,3,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,2,31.281,71.042,0,1,31.601,72.082
70,0,0,2.560,18.960,0,0,5.040,21.761,3,24,11.440,35.361,0,2,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,2,31.281,71.042,0,1,31.601,72.082
71,0,0,2.560,18.960,0,0,5.040,21.761,3,10,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,1,31.281,71.042,0,1,31.601,72.082
72,0,0,2.560,18.960,0,0,5.040,21.761,0,2,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,1,31.281,71.042,0,1,31.601,72.082
73,0,0,2.560,18.960,0,0,5.040,21.761,0,2,11.440,35.361,0,0,10.240,32.161,0,3,14.480,38.961,0,1,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
74,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,19,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
75,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,73,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
76,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,1,165,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
77,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,2,130,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
78,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,3,53,14.480,38.961,0,0,18.800,45.841,0,1,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
79,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,2,8,14.480,38.961,0,0,18.800,45.841,0,1,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
80,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
81,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,16,18.800,45.841,0,0,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
82,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,3,43,18.800,45.841,0,1,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
83,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,2,56,18.800,45.841,0,27,23.921,53.841,0,0,28.881,63.521,0,0,31.281,71.042,0,0,31.601,72.082
84,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,2,31,18.800,45.841,1,81,23.921,53.841,0,0,28.881,63.521,0,3,31.281,71.042,0,5,31.601,72.082
85,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,1,10,18.800,45.841,1,102,23.921,53.841,0,4,28.881,63.521,0,4,31.281,71.042,0,11,31.601,72.082
86,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,2,71,23.921,53.841,0,23,28.881,63.521,1,8,31.281,71.042,0,76,31.601,72.082
87,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,2,32,23.921,53.841,0,76,28.881,63.521,2,14,31.281,71.042,0,86,31.601,72.082
88,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,2,5,23.921,53.841,0,192,28.881,63.521,5,40,31.281,71.042,1,40,31.601,72.082
89,0,0,2.560,18.960,0,0,5.040,21.761,0,0,11.440,35.361,0,0,10.240,32.161,0,0,14.480,38.961,0,0,18.800,45.841,1,2,23.921,53.841,0,230,28.881,63.521,7,90,31.281,71.042,2,14,31.601,72.082
