 ,Min1,Max1,X1,Y1,Min2,Max2,X2,Y2,Min3,Max3,X3,Y3,Min4,Max4,X4,Y4,Min5,Max5,X5,Y5,Min6,Max6,X6,Y6,Min7,Max7,X7,Y7
53,12,111,46.481,84.802,0,1,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,0,34.321,69.842
54,32,210,46.481,84.802,0,0,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,0,34.321,69.842
55,67,145,46.481,84.802,0,0,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,0,34.321,69.842
56,39,123,46.481,84.802,0,0,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,0,34.321,69.842
57,14,93,46.481,84.802,0,0,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,0,34.321,69.842
58,3,28,46.481,84.802,0,0,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,0,34.321,69.842
59,1,12,46.481,84.802,0,0,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,0,34.321,69.842
60,1,3,46.481,84.802,0,0,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,0,34.321,69.842
61,0,2,46.481,84.802,0,0,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,1,35.761,72.882,0,0,34.321,69.842
62,0,1,46.481,84.802,0,0,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,1,35.761,72.882,0,0,34.321,69.842
63,0,0,46.481,84.802,0,0,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,0,34.321,69.842
64,0,0,46.481,84.802,0,0,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,0,34.321,69.842
65,0,1,46.481,84.802,0,0,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,0,34.321,69.842
66,0,1,46.481,84.802,0,0,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,0,34.321,69.842
67,0,0,46.481,84.802,0,0,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,2,34.321,69.842
68,0,0,46.481,84.802,0,0,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,3,34.321,69.842
69,0,0,46.481,84.802,0,0,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,2,34.321,69.842
70,0,0,46.481,84.802,0,0,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,1,34.321,69.842
71,0,0,46.481,84.802,0,0,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,1,35.441,73.602,1,1,35.761,72.882,0,0,34.321,69.842
72,0,0,46.481,84.802,0,0,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,1,35.441,73.602,1,1,35.761,72.882,0,0,34.321,69.842
73,0,0,46.481,84.802,0,0,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,3,35.441,73.602,1,1,35.761,72.882,0,0,34.321,69.842
74,0,0,46.481,84.802,0,0,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,3,35.441,73.602,0,1,35.761,72.882,0,0,34.321,69.842
75,0,0,46.481,84.802,0,0,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,0,34.321,69.842
76,0,0,46.481,84.802,0,0,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,1,34.321,69.842
77,0,0,46.481,84.802,0,0,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,3,34.321,69.842
78,0,0,46.481,84.802,0,2,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,1,35.441,73.602,0,1,35.761,72.882,0,7,34.321,69.842
79,0,0,46.481,84.802,0,7,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,1,35.441,73.602,1,8,35.761,72.882,0,5,34.321,69.842
80,0,0,46.481,84.802,0,11,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,4,35.441,73.602,6,19,35.761,72.882,0,2,34.321,69.842
81,0,0,46.481,84.802,0,13,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,9,35.441,73.602,11,24,35.761,72.882,0,2,34.321,69.842
82,0,0,46.481,84.802,0,6,44.001,82.562,0,1,39.921,78.402,0,0,37.681,76.562,1,10,35.441,73.602,10,19,35.761,72.882,0,1,34.321,69.842
83,0,0,46.481,84.802,0,0,44.001,82.562,0,1,39.921,78.402,0,0,37.681,76.562,1,9,35.441,73.602,7,12,35.761,72.882,0,1,34.321,69.842
84,0,0,46.481,84.802,0,0,44.001,82.562,0,1,39.921,78.402,0,0,37.681,76.562,1,8,35.441,73.602,5,6,35.761,72.882,0,0,34.321,69.842
85,0,0,46.481,84.802,0,0,44.001,82.562,0,2,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,0,34.321,69.842
86,0,0,46.481,84.802,0,0,44.001,82.562,0,2,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,0,34.321,69.842
87,0,0,46.481,84.802,0,0,44.001,82.562,0,3,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,0,34.321,69.842
88,0,0,46.481,84.802,0,0,44.001,82.562,0,3,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,0,34.321,69.842
89,0,0,46.481,84.802,0,0,44.001,82.562,0,2,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,0,34.321,69.842
