 ,Min1,Max1,X1,Y1,Min2,Max2,X2,Y2,Min3,Max3,X3,Y3,Min4,Max4,X4,Y4,Min5,Max5,X5,Y5,Min6,Max6,X6,Y6,Min7,Max7,X7,Y7,Min8,Max8,X8,Y8,Min9,Max9,X9,Y9,Min10,Max10,X10,Y10,Min11,Max11,X11,Y11,Min12,Max12,X12,Y12,Min13,Max13,X13,Y13,Min14,Max14,X14,Y14,Min15,Max15,X15,Y15,Min16,Max16,X16,Y16,Min17,Max17,X17,Y17,Min18,Max18,X18,Y18,Min19,Max19,X19,Y19,Min20,Max20,X20,Y20,Min21,Max21,X21,Y21,Min22,Max22,X22,Y22,Min23,Max23,X23,Y23,Min24,Max24,X24,Y24,Min25,Max25,X25,Y25,Min26,Max26,X26,Y26,Min27,Max27,X27,Y27,Min28,Max28,X28,Y28
21,0,0,41.041,46.161,0,0,41.121,48.881,0,0,37.121,41.521,0,0,38.721,38.241,0,0,37.841,37.681,0,0,34.401,34.241,0,0,37.841,35.841,0,0,37.201,33.281,0,0,34.881,31.201,0,1,32.241,32.321,0,1,33.521,31.601,0,4,32.081,29.041,1,4,32.961,30.881,0,111,33.121,26.801,0,3,33.281,28.401,0,2,31.361,27.681,0,0,28.961,26.081,0,1,30.401,25.281,0,0,28.321,24.561,0,0,25.841,23.521,0,0,27.281,22.881,0,0,26.161,21.200,0,0,24.001,20.880,0,0,25.441,20.560,0,0,22.721,19.280,0,0,22.001,17.520,0,0,21.681,16.320,1,11,32.161,30.081
22,0,0,41.041,46.161,0,0,41.121,48.881,0,0,37.121,41.521,0,0,38.721,38.241,0,0,37.841,37.681,0,0,34.401,34.241,0,0,37.841,35.841,0,0,37.201,33.281,0,1,34.881,31.201,0,1,32.241,32.321,0,2,33.521,31.601,0,6,32.081,29.041,0,32,32.961,30.881,0,6,33.121,26.801,0,1,33.281,28.401,0,1,31.361,27.681,0,0,28.961,26.081,0,0,30.401,25.281,0,0,28.321,24.561,0,0,25.841,23.521,0,0,27.281,22.881,0,0,26.161,21.200,0,0,24.001,20.880,0,0,25.441,20.560,0,0,22.721,19.280,0,0,22.001,17.520,0,0,21.681,16.320,1,3,32.161,30.081
23,0,0,41.041,46.161,0,0,41.121,48.881,0,0,37.121,41.521,0,0,38.721,38.241,0,0,37.841,37.681,0,0,34.401,34.241,0,0,37.841,35.841,0,0,37.201,33.281,1,6,34.881,31.201,0,2,32.241,32.321,1,6,33.521,31.601,0,34,32.081,29.041,0,83,32.961,30.881,0,0,33.121,26.801,0,1,33.281,28.401,0,2,31.361,27.681,0,0,28.961,26.081,0,0,30.401,25.281,0,0,28.321,24.561,0,0,25.841,23.521,0,0,27.281,22.881,0,0,26.161,21.200,0,0,24.001,20.880,0,0,25.441,20.560,0,0,22.721,19.280,0,0,22.001,17.520,0,0,21.681,16.320,1,3,32.161,30.081
24,0,0,41.041,46.161,0,0,41.121,48.881,0,0,37.121,41.521,0,0,38.721,38.241,0,0,37.841,37.681,0,0,34.401,34.241,0,0,37.841,35.841,0,0,37.201,33.281,1,15,34.881,31.201,0,2,32.241,32.321,1,5,33.521,31.601,0,39,32.081,29.041,0,30,32.961,30.881,0,0,33.121,26.801,0,1,33.281,28.401,0,2,31.361,27.681,0,0,28.961,26.081,0,0,30.401,25.281,0,0,28.321,24.561,0,0,25.841,23.521,0,0,27.281,22.881,0,0,26.161,21.200,0,0,24.001,20.880,0,0,25.441,20.560,0,0,22.721,19.280,0,0,22.001,17.520,0,0,21.681,16.320,1,2,32.161,30.081
25,0,0,41.041,46.161,0,0,41.121,48.881,0,0,37.121,41.521,0,0,38.721,38.241,0,0,37.841,37.681,0,0,34.401,34.241,0,0,37.841,35.841,0,0,37.201,33.281,1,10,34.881,31.201,0,2,32.241,32.321,1,5,33.521,31.601,0,5,32.081,29.041,0,4,32.961,30.881,0,0,33.121,26.801,0,0,33.281,28.401,0,0,31.361,27.681,0,0,28.961,26.081,0,0,30.401,25.281,0,0,28.321,24.561,0,0,25.841,23.521,0,0,27.281,22.881,0,0,26.161,21.200,0,0,24.001,20.880,0,1,25.441,20.560,0,0,22.721,19.280,0,0,22.001,17.520,0,0,21.681,16.320,0,1,32.161,30.081
26,0,0,41.041,46.161,0,0,41.121,48.881,0,0,37.121,41.521,0,0,38.721,38.241,0,0,37.841,37.681,0,0,34.401,34.241,0,0,37.841,35.841,0,0,37.201,33.281,0,2,34.881,31.201,0,3,32.241,32.321,3,24,33.521,31.601,0,0,32.081,29.041,0,3,32.961,30.881,0,0,33.121,26.801,0,0,33.281,28.401,0,0,31.361,27.681,0,0,28.961,26.081,0,0,30.401,25.281,0,0,28.321,24.561,0,0,25.841,23.521,0,0,27.281,22.881,0,1,26.161,21.200,0,0,24.001,20.880,0,1,25.441,20.560,0,0,22.721,19.280,0,0,22.001,17.520,0,0,21.681,16.320,0,0,32.161,30.081
27,0,0,41.041,46.161,0,0,41.121,48.881,0,0,37.121,41.521,0,0,38.721,38.241,0,0,37.841,37.681,0,1,34.401,34.241,0,0,37.841,35.841,0,0,37.201,33.281,1,2,34.881,31.201,0,22,32.241,32.321,3,33,33.521,31.601,0,0,32.081,29.041,0,4,32.961,30.881,0,0,33.121,26.801,0,0,33.281,28.401,0,0,31.361,27.681,0,0,28.961,26.081,0,0,30.401,25.281,0,2,28.321,24.561,0,2,25.841,23.521,0,28,27.281,22.881,0,1,26.161,21.200,0,0,24.001,20.880,0,2,25.441,20.560,0,0,22.721,19.280,0,0,22.001,17.520,0,0,21.681,16.320,0,0,32.161,30.081
28,0,0,41.041,46.161,0,0,41.121,48.881,0,0,37.121,41.521,0,0,38.721,38.241,0,0,37.841,37.681,0,9,34.401,34.241,0,0,37.841,35.841,0,0,37.201,33.281,1,58,34.881,31.201,0,30,32.241,32.321,2,9,33.521,31.601,0,0,32.081,29.041,1,3,32.961,30.881,0,0,33.121,26.801,0,0,33.281,28.401,0,0,31.361,27.681,0,0,28.961,26.081,0,0,30.401,25.281,1,2,28.321,24.561,0,21,25.841,23.521,1,18,27.281,22.881,1,1,26.161,21.200,0,1,24.001,20.880,1,4,25.441,20.560,0,0,22.721,19.280,0,0,22.001,17.520,0,0,21.681,16.320,0,0,32.161,30.081
29,0,0,41.041,46.161,0,0,41.121,48.881,0,0,37.121,41.521,0,0,38.721,38.241,0,0,37.841,37.681,0,32,34.401,34.241,0,0,37.841,35.841,0,0,37.201,33.281,1,104,34.881,31.201,0,8,32.241,32.321,0,2,33.521,31.601,0,0,32.081,29.041,0,1,32.961,30.881,0,0,33.121,26.801,0,0,33.281,28.401,0,0,31.361,27.681,0,0,28.961,26.081,0,0,30.401,25.281,1,3,28.321,24.561,0,25,25.841,23.521,1,3,27.281,22.881,1,4,26.161,21.200,0,1,24.001,20.880,1,8,25.441,20.560,0,0,22.721,19.280,0,0,22.001,17.520,0,0,21.681,16.320,0,0,32.161,30.081
30,0,0,41.041,46.161,0,0,41.121,48.881,0,0,37.121,41.521,0,0,38.721,38.241,0,0,37.841,37.681,0,17,34.401,34.241,0,1,37.841,35.841,0,16,37.201,33.281,0,28,34.881,31.201,0,0,32.241,32.321,0,0,33.521,31.601,0,0,32.081,29.041,0,0,32.961,30.881,0,0,33.121,26.801,0,0,33.281,28.401,0,0,31.361,27.681,0,1,28.961,26.081,0,0,30.401,25.281,1,5,28.321,24.561,0,8,25.841,23.521,2,3,27.281,22.881,1,5,26.161,21.200,0,1,24.001,20.880,1,8,25.441,20.560,0,0,22.721,19.280,0,0,22.001,17.520,0,0,21.681,16.320,0,0,32.161,30.081
31,0,0,41.041,46.161,0,0,41.121,48.881,0,0,37.121,41.521,0,0,38.721,38.241,0,0,37.841,37.681,0,4,34.401,34.241,0,2,37.841,35.841,0,50,37.201,33.281,0,0,34.881,31.201,0,0,32.241,32.321,0,0,33.521,31.601,0,0,32.081,29.041,0,0,32.961,30.881,0,0,33.121,26.801,0,0,33.281,28.401,0,0,31.361,27.681,1,2,28.961,26.081,0,1,30.401,25.281,1,16,28.321,24.561,0,17,25.841,23.521,2,3,27.281,22.881,1,4,26.161,21.200,0,0,24.001,20.880,0,3,25.441,20.560,0,0,22.721,19.280,0,0,22.001,17.520,0,0,21.681,16.320,0,0,32.161,30.081
32,0,0,41.041,46.161,0,0,41.121,48.881,0,0,37.121,41.521,0,1,38.721,38.241,1,2,37.841,37.681,0,7,34.401,34.241,0,10,37.841,35.841,0,23,37.201,33.281,0,0,34.881,31.201,0,0,32.241,32.321,0,0,33.521,31.601,0,0,32.081,29.041,0,0,32.961,30.881,0,0,33.121,26.801,0,0,33.281,28.401,0,0,31.361,27.681,1,3,28.961,26.081,0,1,30.401,25.281,0,12,28.321,24.561,0,11,25.841,23.521,1,2,27.281,22.881,0,3,26.161,21.200,0,0,24.001,20.880,0,3,25.441,20.560,0,0,22.721,19.280,0,0,22.001,17.520,0,0,21.681,16.320,0,0,32.161,30.081
33,0,0,41.041,46.161,0,0,41.121,48.881,0,0,37.121,41.521,0,1,38.721,38.241,1,2,37.841,37.681,0,21,34.401,34.241,1,11,37.841,35.841,0,0,37.201,33.281,0,0,34.881,31.201,0,0,32.241,32.321,0,0,33.521,31.601,0,0,32.081,29.041,0,0,32.961,30.881,0,0,33.121,26.801,0,0,33.281,28.401,0,0,31.361,27.681,0,4,28.961,26.081,0,0,30.401,25.281,0,2,28.321,24.561,0,0,25.841,23.521,0,0,27.281,22.881,0,0,26.161,21.200,0,0,24.001,20.880,0,0,25.441,20.560,0,0,22.721,19.280,0,0,22.001,17.520,0,0,21.681,16.320,0,0,32.161,30.081
34,0,0,41.041,46.161,0,0,41.121,48.881,0,0,37.121,41.521,0,0,38.721,38.241,0,1,37.841,37.681,0,8,34.401,34.241,0,1,37.841,35.841,0,0,37.201,33.281,0,0,34.881,31.201,0,0,32.241,32.321,0,0,33.521,31.601,0,0,32.081,29.041,0,0,32.961,30.881,0,0,33.121,26.801,0,0,33.281,28.401,0,0,31.361,27.681,0,1,28.961,26.081,0,0,30.401,25.281,0,0,28.321,24.561,0,0,25.841,23.521,0,0,27.281,22.881,0,0,26.161,21.200,0,0,24.001,20.880,0,0,25.441,20.560,0,0,22.721,19.280,0,0,22.001,17.520,0,0,21.681,16.320,0,0,32.161,30.081
35,0,0,41.041,46.161,0,0,41.121,48.881,0,0,37.121,41.521,0,0,38.721,38.241,0,0,37.841,37.681,0,1,34.401,34.241,0,1,37.841,35.841,0,0,37.201,33.281,0,0,34.881,31.201,0,1,32.241,32.321,0,0,33.521,31.601,0,0,32.081,29.041,0,0,32.961,30.881,0,0,33.121,26.801,0,0,33.281,28.401,0,0,31.361,27.681,0,1,28.961,26.081,0,0,30.401,25.281,0,0,28.321,24.561,0,0,25.841,23.521,0,0,27.281,22.881,0,0,26.161,21.200,0,0,24.001,20.880,0,0,25.441,20.560,0,0,22.721,19.280,0,0,22.001,17.520,0,0,21.681,16.320,0,0,32.161,30.081
36,0,0,41.041,46.161,0,0,41.121,48.881,0,0,37.121,41.521,0,0,38.721,38.241,0,1,37.841,37.681,0,1,34.401,34.241,0,0,37.841,35.841,0,0,37.201,33.281,0,0,34.881,31.201,0,1,32.241,32.321,0,0,33.521,31.601,0,0,32.081,29.041,0,0,32.961,30.881,0,0,33.121,26.801,0,0,33.281,28.401,0,0,31.361,27.681,0,0,28.961,26.081,0,0,30.401,25.281,0,0,28.321,24.561,0,0,25.841,23.521,0,0,27.281,22.881,0,0,26.161,21.200,0,0,24.001,20.880,0,0,25.441,20.560,0,0,22.721,19.280,0,0,22.001,17.520,0,0,21.681,16.320,0,0,32.161,30.081
37,0,0,41.041,46.161,0,0,41.121,48.881,0,0,37.121,41.521,0,2,38.721,38.241,1,3,37.841,37.681,0,0,34.401,34.241,0,3,37.841,35.841,0,0,37.201,33.281,0,0,34.881,31.201,0,0,32.241,32.321,0,0,33.521,31.601,0,0,32.081,29.041,0,0,32.961,30.881,0,0,33.121,26.801,0,0,33.281,28.401,0,0,31.361,27.681,0,0,28.961,26.081,0,0,30.401,25.281,0,0,28.321,24.561,0,0,25.841,23.521,0,0,27.281,22.881,0,0,26.161,21.200,0,0,24.001,20.880,0,0,25.441,20.560,0,0,22.721,19.280,0,0,22.001,17.520,0,0,21.681,16.320,0,0,32.161,30.081
