 ,Min1,Max1,X1,Y1,Min2,Max2,X2,Y2,Min3,Max3,X3,Y3,Min4,Max4,X4,Y4,Min5,Max5,X5,Y5,Min6,Max6,X6,Y6,Min7,Max7,X7,Y7,Min8,Max8,X8,Y8,Min9,Max9,X9,Y9
72,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
73,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
74,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
75,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
76,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
77,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
78,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
79,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
80,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
81,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
82,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
83,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
84,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
85,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
86,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
87,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
88,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
89,0,0,23.361,20.000,0,1,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
