 ,Min1,Max1,X1,Y1,Min2,Max2,X2,Y2,Min3,Max3,X3,Y3,Min4,Max4,X4,Y4
56,1,4,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,1,2,103.362,104.802
57,0,4,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,1,103.362,104.802
58,0,1,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
59,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
60,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
61,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
62,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,1,103.362,104.802
63,0,1,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,1,34,103.362,104.802
64,0,5,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,4,255,103.362,104.802
65,2,9,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,15,306,103.362,104.802
66,3,138,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,22,233,103.362,104.802
67,3,884,102.722,105.522,0,0,99.282,98.882,0,3,101.042,100.642,14,54,103.362,104.802
68,13,970,102.722,105.522,0,0,99.282,98.882,0,16,101.042,100.642,8,41,103.362,104.802
69,19,701,102.722,105.522,0,1,99.282,98.882,1,165,101.042,100.642,6,20,103.362,104.802
70,14,69,102.722,105.522,1,2,99.282,98.882,12,500,101.042,100.642,3,11,103.362,104.802
71,7,11,102.722,105.522,1,3,99.282,98.882,15,297,101.042,100.642,2,6,103.362,104.802
72,1,4,102.722,105.522,1,8,99.282,98.882,6,53,101.042,100.642,1,4,103.362,104.802
73,0,0,102.722,105.522,2,152,99.282,98.882,3,11,101.042,100.642,0,1,103.362,104.802
74,0,0,102.722,105.522,12,174,99.282,98.882,1,6,101.042,100.642,0,0,103.362,104.802
75,0,0,102.722,105.522,22,152,99.282,98.882,0,1,101.042,100.642,0,0,103.362,104.802
76,0,0,102.722,105.522,11,38,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
77,0,0,102.722,105.522,2,4,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
78,0,1,102.722,105.522,0,1,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
79,0,3,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,1,103.362,104.802
80,0,2,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
81,0,1,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
82,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
83,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
84,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
85,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
86,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
87,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
88,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
89,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
90,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
91,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
92,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
93,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
94,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
95,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
96,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
97,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
98,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
99,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
100,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
