 ,Min1,Max1,X1,Y1,Min2,Max2,X2,Y2,Min3,Max3,X3,Y3,Min4,Max4,X4,Y4,Min5,Max5,X5,Y5,Min6,Max6,X6,Y6,Min7,Max7,X7,Y7,Min8,Max8,X8,Y8,Min9,Max9,X9,Y9,Min10,Max10,X10,Y10,Min11,Max11,X11,Y11,Min12,Max12,X12,Y12,Min13,Max13,X13,Y13,Min14,Max14,X14,Y14,Min15,Max15,X15,Y15,Min16,Max16,X16,Y16,Min17,Max17,X17,Y17
15,0,0,79.602,115.843,0,0,81.602,112.243,0,0,81.762,110.083,0,0,81.762,106.643,0,0,82.482,107.923,0,0,85.122,102.002,0,0,82.962,102.562,0,0,82.482,105.122,0,0,83.362,104.882,0,0,85.842,99.602,0,0,87.602,98.882,0,0,87.522,92.722,0,0,89.522,91.282,0,0,90.882,89.442,0,0,90.962,87.602,0,0,91.442,85.442,0,0,87.042,94.162
16,0,0,79.602,115.843,0,0,81.602,112.243,0,0,81.762,110.083,0,0,81.762,106.643,0,0,82.482,107.923,0,0,85.122,102.002,0,0,82.962,102.562,0,0,82.482,105.122,0,0,83.362,104.882,0,0,85.842,99.602,0,0,87.602,98.882,0,0,87.522,92.722,0,0,89.522,91.282,0,0,90.882,89.442,0,0,90.962,87.602,0,0,91.442,85.442,0,0,87.042,94.162
17,0,0,79.602,115.843,0,0,81.602,112.243,0,0,81.762,110.083,0,0,81.762,106.643,0,0,82.482,107.923,0,0,85.122,102.002,0,0,82.962,102.562,0,0,82.482,105.122,0,0,83.362,104.882,0,0,85.842,99.602,0,0,87.602,98.882,0,0,87.522,92.722,0,0,89.522,91.282,0,0,90.882,89.442,0,0,90.962,87.602,0,0,91.442,85.442,0,0,87.042,94.162
18,0,0,79.602,115.843,0,0,81.602,112.243,0,0,81.762,110.083,0,0,81.762,106.643,0,0,82.482,107.923,0,0,85.122,102.002,0,0,82.962,102.562,0,0,82.482,105.122,0,0,83.362,104.882,0,0,85.842,99.602,0,0,87.602,98.882,0,0,87.522,92.722,0,0,89.522,91.282,0,0,90.882,89.442,0,0,90.962,87.602,0,0,91.442,85.442,0,0,87.042,94.162
19,0,0,79.602,115.843,0,0,81.602,112.243,0,0,81.762,110.083,0,0,81.762,106.643,0,0,82.482,107.923,0,0,85.122,102.002,0,0,82.962,102.562,0,0,82.482,105.122,0,0,83.362,104.882,0,0,85.842,99.602,0,0,87.602,98.882,0,0,87.522,92.722,0,0,89.522,91.282,0,0,90.882,89.442,0,0,90.962,87.602,0,0,91.442,85.442,0,0,87.042,94.162
20,0,0,79.602,115.843,0,0,81.602,112.243,0,0,81.762,110.083,0,0,81.762,106.643,0,0,82.482,107.923,0,0,85.122,102.002,0,0,82.962,102.562,0,0,82.482,105.122,0,0,83.362,104.882,0,0,85.842,99.602,0,0,87.602,98.882,0,0,87.522,92.722,0,0,89.522,91.282,0,0,90.882,89.442,0,0,90.962,87.602,0,0,91.442,85.442,0,0,87.042,94.162
21,0,0,79.602,115.843,0,0,81.602,112.243,0,0,81.762,110.083,0,0,81.762,106.643,0,0,82.482,107.923,0,0,85.122,102.002,0,0,82.962,102.562,0,0,82.482,105.122,0,0,83.362,104.882,0,0,85.842,99.602,0,0,87.602,98.882,0,0,87.522,92.722,0,0,89.522,91.282,0,0,90.882,89.442,0,0,90.962,87.602,0,0,91.442,85.442,0,0,87.042,94.162
22,0,0,79.602,115.843,0,0,81.602,112.243,0,0,81.762,110.083,0,0,81.762,106.643,0,0,82.482,107.923,0,0,85.122,102.002,0,0,82.962,102.562,0,0,82.482,105.122,0,0,83.362,104.882,0,0,85.842,99.602,0,0,87.602,98.882,0,0,87.522,92.722,0,0,89.522,91.282,0,0,90.882,89.442,0,0,90.962,87.602,0,0,91.442,85.442,0,0,87.042,94.162
23,0,0,79.602,115.843,0,0,81.602,112.243,0,0,81.762,110.083,0,0,81.762,106.643,0,0,82.482,107.923,0,0,85.122,102.002,0,0,82.962,102.562,0,0,82.482,105.122,0,0,83.362,104.882,0,0,85.842,99.602,0,0,87.602,98.882,0,0,87.522,92.722,0,0,89.522,91.282,0,0,90.882,89.442,0,0,90.962,87.602,0,0,91.442,85.442,0,0,87.042,94.162
24,0,0,79.602,115.843,0,0,81.602,112.243,0,0,81.762,110.083,0,0,81.762,106.643,0,0,82.482,107.923,0,0,85.122,102.002,0,0,82.962,102.562,0,0,82.482,105.122,0,0,83.362,104.882,0,0,85.842,99.602,0,0,87.602,98.882,0,0,87.522,92.722,0,0,89.522,91.282,0,0,90.882,89.442,0,0,90.962,87.602,0,0,91.442,85.442,0,0,87.042,94.162
25,0,0,79.602,115.843,0,0,81.602,112.243,0,0,81.762,110.083,0,0,81.762,106.643,0,0,82.482,107.923,0,0,85.122,102.002,0,0,82.962,102.562,0,0,82.482,105.122,0,0,83.362,104.882,0,0,85.842,99.602,0,0,87.602,98.882,0,0,87.522,92.722,0,0,89.522,91.282,0,0,90.882,89.442,0,1,90.962,87.602,0,10,91.442,85.442,0,0,87.042,94.162
26,0,0,79.602,115.843,0,0,81.602,112.243,0,0,81.762,110.083,0,0,81.762,106.643,0,0,82.482,107.923,0,0,85.122,102.002,0,0,82.962,102.562,0,0,82.482,105.122,0,0,83.362,104.882,0,0,85.842,99.602,0,0,87.602,98.882,0,0,87.522,92.722,0,0,89.522,91.282,0,0,90.882,89.442,0,10,90.962,87.602,1,172,91.442,85.442,0,0,87.042,94.162
27,0,0,79.602,115.843,0,11,81.602,112.243,0,0,81.762,110.083,0,0,81.762,106.643,0,0,82.482,107.923,0,0,85.122,102.002,0,0,82.962,102.562,0,0,82.482,105.122,0,0,83.362,104.882,0,0,85.842,99.602,0,0,87.602,98.882,0,17,87.522,92.722,0,36,89.522,91.282,0,56,90.882,89.442,2,198,90.962,87.602,4,1359,91.442,85.442,0,0,87.042,94.162
28,0,8,79.602,115.843,1,312,81.602,112.243,0,1,81.762,110.083,0,0,81.762,106.643,0,0,82.482,107.923,0,0,85.122,102.002,0,0,82.962,102.562,0,0,82.482,105.122,0,0,83.362,104.882,0,0,85.842,99.602,0,16,87.602,98.882,1,270,87.522,92.722,3,148,89.522,91.282,2,475,90.882,89.442,4,1386,90.962,87.602,0,1725,91.442,85.442,1,2,87.042,94.162
